"","condition","cn","target_ICC","beta1","beta2","beta3","coef_con_diff_p_sib0","coef_gender_composition_two_eff_p_sib0","coef_con_diff_p_sib1","coef_ev1_p_sib1","coef_ev2_p_sib1","coef_con_diff_p_sib2","coef_gender_composition_two_eff_p_sib2","coef_con_diffxgender_composition_two_eff_p_sib2","coef_con_diff_p_sib3","coef_ev1_p_sib3","coef_ev2_p_sib3","coef_con_diffxev1_p_sib3","coef_con_diffxev2_p_sib3","coef_fixed_con_p_MLM1","coef_fixed_catwtn_p_MLM1","coef_fixed_con_p_MLM2","coef_fixed_catwtn_p_MLM2","coef_fixed_catwtnxcon_p_MLM2","coef_fixed_con_p_MLM3","coef_fixed_catbtw_p_MLM3","coef_fixed_con_p_MLM4","coef_fixed_catbtw_p_MLM4","coef_fixed_conxcatbtw_p_MLM4","coef_fixed_con_p_MLM5","coef_fixed_ev1_p_MLM5","coef_fixed_ev2_p_MLM5","coef_fixed_con_p_MLM6","coef_fixed_ev1_p_MLM6","coef_fixed_ev2_p_MLM6","coef_fixed_conxev1_p_MLM6","coef_fixed_conxev2_p_MLM6"
"75",75,510,0.2,0.3,0.5,0.3,1,1,1,0.999,1,1,1,0.131,1,1,0.993,1,1,1,1,1,1,1,1,1,1,1,0.08,1,1,1,1,1,1,1,1
"76",76,30,0.4,0.3,0.5,0.3,0.666,0.985,0.645,0.211,0.721,0.638,0.984,0.077,0.842,0.434,0.34,0.705,0.707,0.999,1,1,1,0.998,0.997,1,0.992,1,0.073,1,1,0.459,1,1,0.476,0.603,0.597
"77",77,120,0.4,0.3,0.5,0.3,1,1,1,0.651,1,1,1,0.102,1,0.977,0.921,0.999,1,1,1,1,1,1,1,1,1,1,0.072,1,1,0.998,1,1,0.998,1,1
"78",78,510,0.4,0.3,0.5,0.3,1,1,1,0.996,1,1,1,0.112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.058,1,1,1,1,1,1,1,1
"79",79,30,0.8,0.3,0.5,0.3,0.648,0.882,0.617,0.211,0.84,0.598,0.872,0.089,0.8,0.338,0.568,0.658,0.646,1,1,1,1,0.593,1,1,1,1,0.056,1,1,0.76,1,1,0.701,0.143,0.138
"80",80,120,0.8,0.3,0.5,0.3,0.999,1,0.998,0.628,1,0.998,1,0.098,1,0.938,1,1,1,1,1,1,1,0.995,1,1,1,1,0.053,1,1,1,1,1,1,0.766,0.756
"81",81,510,0.8,0.3,0.5,0.3,1,1,1,0.997,1,1,1,0.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.059,1,1,1,1,1,1,1,1
"82",82,30,0.2,0.3,0.1,0.5,0.766,0.063,0.457,0.107,0.089,0.712,0.062,0.218,0.76,0.104,0.027,0.902,0.822,0.998,0.321,1,0.539,1,0.996,0.211,0.996,0.208,0.095,0.997,0.278,0.075,0.998,0.294,0.049,0.968,0.972
"83",83,120,0.2,0.3,0.1,0.5,1,0.051,0.982,0.349,0.414,1,0.103,0.627,1,0.893,0.472,1,1,1,0.852,1,0.974,1,1,0.704,1,0.711,0.103,1,0.845,0.104,1,0.89,0.107,1,1
"84",84,510,0.2,0.3,0.1,0.5,1,0.074,1,0.931,0.99,1,0.291,0.992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.102,1,1,0.345,1,1,0.349,1,1
"85",85,30,0.4,0.3,0.1,0.5,0.758,0.053,0.452,0.108,0.091,0.717,0.066,0.224,0.719,0.096,0.033,0.879,0.796,1,0.308,1,0.412,0.988,1,0.517,1,0.507,0.078,1,0.392,0.043,1,0.392,0.053,0.831,0.848
"86",86,120,0.4,0.3,0.1,0.5,0.999,0.073,0.978,0.358,0.487,1,0.139,0.631,1,0.884,0.479,1,1,1,0.818,1,0.905,1,1,0.99,1,0.992,0.089,1,0.946,0.041,1,0.954,0.044,1,1
"87",87,510,0.4,0.3,0.1,0.5,1,0.101,1,0.93,0.987,1,0.359,0.989,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.091,1,1,0.054,1,1,0.055,1,1
"88",88,30,0.8,0.3,0.1,0.5,0.766,0.072,0.477,0.095,0.114,0.72,0.083,0.238,0.722,0.104,0.039,0.864,0.777,1,0.246,1,0.267,0.369,1,0.999,1,0.999,0.046,1,0.845,0.231,1,0.785,0.238,0.272,0.291
"89",89,120,0.8,0.3,0.1,0.5,0.999,0.088,0.978,0.277,0.479,0.999,0.15,0.642,1,0.867,0.546,1,1,1,0.742,1,0.771,0.922,1,1,1,1,0.067,1,1,0.802,1,1,0.796,0.706,0.714
